# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_design_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 360; 49.8097; 572.579; 
0.74; 365; 49.8097; 577.351; 
0.74; 370; 49.8097; 581.506; 
0.74; 375; 49.8097; 585.191; 
0.74; 380; 49.8097; 588.118; 
0.74; 385; 49.8097; 588.83; 
0.74; 390; 49.8097; 588.458; 
0.74; 395; 49.8097; 587.317; 
0.74; 400; 49.8097; 585.181; 
0.74; 405; 49.8097; 582.161; 
0.74; 260; 51.0868; 433.874; 
0.74; 265; 51.0868; 440.859; 
0.74; 270; 51.0868; 447.846; 
0.74; 275; 51.0868; 454.874; 
0.74; 280; 51.0868; 461.919; 
0.74; 285; 51.0868; 468.888; 
0.74; 290; 51.0868; 475.898; 
0.74; 295; 51.0868; 482.918; 
0.74; 300; 51.0868; 489.778; 
0.74; 305; 51.0868; 496.633; 
0.74; 310; 51.0868; 503.48; 
0.74; 315; 51.0868; 510.181; 
0.74; 320; 51.0868; 516.777; 
0.74; 325; 51.0868; 523.318; 
0.74; 330; 51.0868; 529.713; 
0.74; 335; 51.0868; 535.893; 
0.74; 340; 51.0868; 541.964; 
0.74; 345; 51.0868; 547.887; 
0.74; 350; 51.0868; 553.422; 
0.74; 355; 51.0868; 558.69; 
0.74; 360; 51.0868; 563.701; 
0.74; 365; 51.0868; 567.796; 
0.74; 370; 51.0868; 571.348; 
0.74; 375; 51.0868; 574.175; 
0.74; 380; 51.0868; 574.877; 
0.74; 385; 51.0868; 574.473; 
0.74; 390; 51.0868; 573.286; 
0.74; 395; 51.0868; 571.189; 
0.74; 400; 51.0868; 568.203; 
0.74; 405; 51.0868; 564.128; 
0.74; 260; 52.364; 430.923; 
0.74; 265; 52.364; 437.744; 
0.74; 270; 52.364; 444.539; 
0.74; 275; 52.364; 451.371; 
0.74; 280; 52.364; 458.221; 
0.74; 285; 52.364; 464.983; 
0.74; 290; 52.364; 471.762; 
0.74; 295; 52.364; 478.54; 
0.74; 300; 52.364; 485.156; 
0.74; 305; 52.364; 491.752; 
0.74; 310; 52.364; 498.327; 
0.74; 315; 52.364; 504.741; 
0.74; 320; 52.364; 511.036; 
0.74; 325; 52.364; 517.262; 
0.74; 330; 52.364; 523.327; 
0.74; 335; 52.364; 529.162; 
0.74; 340; 52.364; 534.87; 
