# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/tawCalculatePolar_liftDistribution_078_plot.csv
# (1)C_L; (2)C_Lw; (3)y, m; (4)C_l; (5)Cl*l, m
-0.060000;-0.018843;0.330666;-0.123634;6.019268
-0.060000;-0.018843;0.991996;-0.116555;6.019268
-0.060000;-0.018843;1.653327;-0.094920;6.019268
-0.060000;-0.018843;2.491627;-0.042131;5.739122
-0.060000;-0.018843;3.506896;-0.015743;5.178829
-0.060000;-0.018843;4.522165;-0.007909;4.618536
-0.060000;-0.018843;5.864917;-0.001113;4.102494
-0.060000;-0.018843;7.518152;0.008528;3.635507
-0.060000;-0.018843;9.120731;0.016451;3.182828
-0.060000;-0.018843;10.640030;0.022611;2.753673
-0.060000;-0.018843;12.045120;0.027765;2.356778
-0.060000;-0.018843;13.307400;0.032483;2.000223
-0.060000;-0.018843;14.401170;0.037680;1.691267
-0.060000;-0.018843;15.304170;0.045304;1.436197
-0.060000;-0.018843;15.998010;0.057385;1.240209
-0.060000;-0.018843;16.468570;0.065319;1.107290
-0.060000;-0.018843;16.706270;0.038694;1.040147


-0.050000;-0.009138;0.330666;-0.116002;6.019268
-0.050000;-0.009138;0.991996;-0.108950;6.019268
-0.050000;-0.009138;1.653327;-0.087387;6.019268
-0.050000;-0.009138;2.491627;-0.034302;5.739122
-0.050000;-0.009138;3.506896;-0.007226;5.178829
-0.050000;-0.009138;4.522165;0.001379;4.618536
-0.050000;-0.009138;5.864917;0.008887;4.102494
-0.050000;-0.009138;7.518152;0.019122;3.635507
-0.050000;-0.009138;9.120731;0.027646;3.182828
-0.050000;-0.009138;10.640030;0.034384;2.753673
-0.050000;-0.009138;12.045120;0.040071;2.356778
-0.050000;-0.009138;13.307400;0.045220;2.000223
-0.050000;-0.009138;14.401170;0.050616;1.691267
-0.050000;-0.009138;15.304170;0.057902;1.436197
-0.050000;-0.009138;15.998010;0.068548;1.240209
-0.050000;-0.009138;16.468570;0.073412;1.107290
-0.050000;-0.009138;16.706270;0.042204;1.040147


-0.040000;0.000568;0.330666;-0.108370;6.019268
-0.040000;0.000568;0.991996;-0.101345;6.019268
-0.040000;0.000568;1.653327;-0.079853;6.019268
-0.040000;0.000568;2.491627;-0.026472;5.739122
-0.040000;0.000568;3.506896;0.001291;5.178829
-0.040000;0.000568;4.522165;0.010668;4.618536
-0.040000;0.000568;5.864917;0.018886;4.102494
-0.040000;0.000568;7.518152;0.029716;3.635507
-0.040000;0.000568;9.120731;0.038840;3.182828
-0.040000;0.000568;10.640030;0.046157;2.753673
-0.040000;0.000568;12.045120;0.052377;2.356778
-0.040000;0.000568;13.307400;0.057957;2.000223
-0.040000;0.000568;14.401170;0.063552;1.691267
-0.040000;0.000568;15.304170;0.070501;1.436197
-0.040000;0.000568;15.998010;0.079710;1.240209
