# C:/Programs/UNICADOworkflow/workingDirectoryRCE/UNICADOworkflow_2025-10-16_09-20-18_13/UNICADO-SMR-01/reporting/plots/csv_files/mission_analysis_study_mission_SAR.csv
# Diagram about specific air range
# Ma-Number [-]; Altitude [FL]; AC mass [kg]; SAR [m/kg];
0.74; 320; 56.2521; 493.274; 
0.74; 325; 56.2521; 498.549; 
0.74; 330; 56.2521; 503.574; 
0.74; 335; 56.2521; 508.251; 
0.74; 340; 56.2521; 512.696; 
0.74; 345; 56.2521; 516.71; 
0.74; 350; 56.2521; 519.986; 
0.74; 355; 56.2521; 522.599; 
0.74; 360; 56.2521; 524.04; 
0.74; 365; 56.2521; 523.922; 
0.74; 370; 56.2521; 522.914; 
0.74; 375; 56.2521; 521.04; 
0.74; 380; 56.2521; 518.334; 
0.74; 385; 56.2521; 514.625; 
0.74; 390; 56.2521; 509.993; 
0.74; 395; 56.2521; 502.71; 
0.74; 400; 56.2521; 493.44; 
0.74; 405; 56.2521; 482.933; 
0.74; 260; 57.5306; 418.544; 
0.74; 265; 57.5306; 424.647; 
0.74; 270; 57.5306; 430.701; 
0.74; 275; 57.5306; 436.758; 
0.74; 280; 57.5306; 442.771; 
0.74; 285; 57.5306; 448.653; 
0.74; 290; 57.5306; 454.515; 
0.74; 295; 57.5306; 460.347; 
0.74; 300; 57.5306; 465.969; 
0.74; 305; 57.5306; 471.519; 
0.74; 310; 57.5306; 476.994; 
0.74; 315; 57.5306; 482.261; 
0.74; 320; 57.5306; 487.354; 
0.74; 325; 57.5306; 492.279; 
0.74; 330; 57.5306; 496.912; 
0.74; 335; 57.5306; 501.201; 
0.74; 340; 57.5306; 504.948; 
0.74; 345; 57.5306; 508.186; 
0.74; 350; 57.5306; 510.758; 
0.74; 355; 57.5306; 512.186; 
0.74; 360; 57.5306; 512.633; 
0.74; 365; 57.5306; 511.841; 
0.74; 370; 57.5306; 510.054; 
0.74; 375; 57.5306; 507.469; 
0.74; 380; 57.5306; 503.924; 
0.74; 385; 57.5306; 499.412; 
0.74; 390; 57.5306; 492.55; 
0.74; 395; 57.5306; 483.486; 
0.74; 400; 57.5306; 473.314; 
0.74; 405; 57.5306; 462.029; 
0.74; 260; 58.809; 415.382; 
0.74; 265; 58.809; 421.313; 
0.74; 270; 58.809; 427.174; 
0.74; 275; 58.809; 433.024; 
0.74; 280; 58.809; 438.835; 
0.74; 285; 58.809; 444.507; 
0.74; 290; 58.809; 450.146; 
0.74; 295; 58.809; 455.742; 
0.74; 300; 58.809; 461.12; 
0.74; 305; 58.809; 466.413; 
0.74; 310; 58.809; 471.619; 
0.74; 315; 58.809; 476.603; 
0.74; 320; 58.809; 481.367; 
0.74; 325; 58.809; 485.914; 
0.74; 330; 58.809; 490.051; 
0.74; 335; 58.809; 493.613; 
0.74; 340; 58.809; 496.76; 
0.74; 345; 58.809; 499.483; 
0.74; 350; 58.809; 500.917; 
0.74; 355; 58.809; 501.367; 
0.74; 360; 58.809; 501.13; 
0.74; 365; 58.809; 499.571; 
